Region,Sub-region,Country,Date Completed,1. At the woman's request,1a. To save a woman’s life,1b. To preserve a woman’s health,1c. To preserve a woman’s physical health,1d. To preserve a woman’s mental health,1e. In cases of intellectual or cognitive disability of the woman,1f. In cases of incest,1g. In cases of rape,1h. In cases of foetal impairment,1i. For economic or social reasons,1k. Other (please specify),2a. Gestational limit applies,2b. Authorization of health-care professional(s) required,2c. Parental consent required for minors,2d. Judicial authorization required for minors,2e. Husband’s consent required for married women,2f. Authorized in specially licensed facilities only,2g. Compulsory counselling,2h. Woman required to view ultrasound images and/or listen to foetal heartbeat,2i. Compulsory waiting period,2j. HIV test required,2k. Other STI test(s) required,2l. Police report required in case of rape,2m. Judicial authorization required in case of rape,2n. Prohibition of sex-selective abortion,2o. Other,8. Who can be criminally charged for an illegal abortion?
Africa,Eastern Africa,Comoros,2022-05-17,No,Yes,No,No,No,No,No,No,No,No,Very serious medical reasons,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider"
Africa,Middle Africa,Congo,2022-05-11,No,No,No,No,No,No,No,No,No,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Western Africa,Cote D'ivoire,2024-03-17,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Sexual assault,Not Specified,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Middle Africa,Democratic Republic of Congo,2022-10-27,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,"Safe abortion may be requested by women who need special medical treatment for heart disease, cancer, or other illnesses that may worsen the prognosis of the woman's disease, or other illnesses that can put the survival of the fetus at risk.",Yes,Yes,Yes,Not Specified,No,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,No,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Eastern Africa,Djibouti,2018-11-09,No,No,No,No,No,No,No,No,No,No,Abortion termination of pregnancy practiced by a physician for a therapeutic purpose in accordance with the Public Health Act,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Northern Africa,Egypt,2017-05-07,No,Yes,Yes,No,No,No,No,No,No,No,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Middle Africa,Equatorial Guinea,2022-08-09,No,Yes,Yes,No,No,No,No,No,No,No,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Eastern Africa,Eritrea,2018-11-09,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Termination performed on a girl under the age of 18.,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Southern Africa,Eswatini,2022-05-17,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,"Unlawful sexual intercourse with a mentally retarded female.

On such other grounds as Parliament may prescribe.",Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,Not Specified
Africa,Eastern Africa,Ethiopia,2023-01-06,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Where the pregnant woman, owing to a physical or mental deficiency she suffers from or her minority, is physically as well as mentally unfit to bring up the child.”
In the case of grave and imminent danger which can be averted only by an immediate intervention.",Yes,Not Specified,No,Not Specified,Not Specified,Not Specified,No,Not Specified,Not Specified,Not Specified,No,No,No,Not Specified,"The Technical and Procedural Guidelines for Safe Abortion Services states that ""mentally disabled women should not be required to sign a consent form to obtain an abortion procedure.”","Woman, Provider, Person who helps a woman obtain abortion"
Africa,Middle Africa,Gabon,2022-05-17,No,Yes,No,No,No,No,Yes,Yes,Yes,No,When the pregnant woman is in a state of distress declared to a physician.,Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Western Africa,Gambia,2023-01-06,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,     ,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Western Africa,Ghana,2017-05-07,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Defilement of a female idiot,Yes,Not Specified,No,Not Specified,No,Yes,No,Not Specified,Not Specified,Not Specified,No,No,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Western Africa,Guinea,2022-05-17,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Early pregnancy,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Provider, Person who helps a woman obtain abortion"
Africa,Western Africa,Guinea-Bissau,2018-11-19,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Eastern Africa,Kenya,2022-05-17,Not Specified,Yes,Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Surgical operation upon any person for his benefit, or upon an unborn child for the preservation of the mother’s life, if the performance of the operation is reasonable, having regard to the patient’s state at the time and to all the circumstances of the case",Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Southern Africa,Lesotho,2017-05-07,No,No,Yes,No,No,No,Yes,Yes,Yes,No,     ,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Provider, Person who helps a woman obtain abortion"
Africa,Western Africa,Liberia,2023-01-06,Not Specified,Not Specified,Not Specified,Yes,Yes,Not Specified,Yes,Yes,Yes,Not Specified,"Pregnancy that results from felonious intercourse, in particular pregnancy that results from illicit intercourse with a girl below the age of sixteen",Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Northern Africa,Libya,2017-05-07,No,Yes,No,No,No,No,No,No,No,No,     ,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Eastern Africa,Madagascar,2017-05-07,No,No,No,No,No,No,No,No,No,No,     ,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Eastern Africa,Malawi,2022-05-17,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Abortion is defined as the spontaneous or induced termination of pregnancy before foetal viability (28 weeks gestation is widely used in low-resource settings including Malawi. Safe termination of pregnancy may be required to preserve the life of the woman under the following circumstances, including but not limited to: • Obstetric & Gynecological Conditions, Heart and Vascular Diseases, kidney diseases, cancers, blood diseases, other conditions that place a woman’s life at risk. ",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Western Africa,Mali,2017-05-07,No,Yes,No,No,No,No,Yes,Yes,No,No,Therapeutic reasons,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Western Africa,Mauritania,2021-11-09,No,Yes,No,No,No,No,No,No,No,No,Proven medical necessity,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Eastern Africa,Mauritius,2020-04-22,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Sexual intercourse with a female under the age of 16 or sexual intercourse with a specified person,Yes,Yes,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Northern Africa,Morocco,2017-05-07,No,Yes,Yes,No,No,No,No,No,No,No,Not Specified,Yes,Yes,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Eastern Africa,Mozambique,2024-09-24,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,"If it is recommended in the case of chronic-degenerative diseases. 

Sexual violence, failure of a modern contraceptive method, the woman is infected with HIV/AIDS, the pregnancy is not wanted by a minor who is biologically, socially or psychologically unprepared.  

The committee of the health unit should examine cases not stipulated in the law on a case-by-case basis to ensure that the pregnant woman's access and sexual and reproductive rights is guaranteed.",Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,No,No,Not Specified,Not Specified,No,No,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Southern Africa,Namibia,2017-05-07,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,     ,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Western Africa,Niger,2020-04-22,No,Yes,Yes,No,No,No,No,No,Yes,No,     ,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Western Africa,Nigeria,2022-10-06,Law Varies By Jurisdiction,Law Varies By Jurisdiction,Law Varies By Jurisdiction,Law Varies By Jurisdiction,Law Varies By Jurisdiction,Law Varies By Jurisdiction,Law Varies By Jurisdiction,Law Varies By Jurisdiction,Law Varies By Jurisdiction,Law Varies By Jurisdiction,     ,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,Not Specified
Africa,Western Africa,Northern Nigeria,2022-10-06,No,Yes,No,No,No,No,No,No,Not Specified,No,     ,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,Provider
Africa,Western Africa,Southern Nigeria,2022-10-06,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Eastern Africa,Rwanda,2022-05-17,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Not Specified,Yes,Yes,Yes,Not Specified,No,Not Specified,Not Specified,Not Specified,Not Specified,No,No,No,No,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Middle Africa,Sao Tome and Principe,2023-12-07,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,For the body,Yes,No,Yes,Not Specified,No,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Western Africa,Senegal,2022-05-18,No,Not Specified,No,No,No,No,No,No,No,No,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Eastern Africa,Seychelles,2019-07-31,Not Specified,Yes,Not Specified,Yes,Yes,Yes,Yes,Yes,Yes,Not Specified,Defilement,Yes,Yes,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Western Africa,Sierra Leone,2022-10-04,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Eastern Africa,Somalia,2017-05-07,No,Yes,No,No,No,No,No,No,No,No,Cases of Necessity,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Southern Africa,South Africa,2023-12-07,Yes,Yes,Not Specified,Yes,Yes,No,Yes,Yes,Yes,Yes,     ,Yes,No,No,Not Specified,No,Yes,No,No,Not Specified,No,No,Not Specified,Not Specified,Not Specified,Not Specified,"Provider, Person who helps a woman obtain abortion"
Africa,Eastern Africa,South Sudan,2017-05-07,No,Yes,No,No,No,No,No,No,No,No,     ,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Northern Africa,Sudan,2017-05-07,No,Yes,No,No,No,No,No,Yes,No,No,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Person who helps a woman obtain abortion"
Africa,Western Africa,Togo,2022-05-18,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Northern Africa,Tunisia,2023-12-18,Yes,No,Yes,No,Not Specified,No,No,No,Yes,No,When the mother’s psychological equilibrium risks being compromised by continuation of the pregnancy,Yes,No,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Eastern Africa,Uganda,2021-11-09,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Surgical operation performed in good faith and with reasonable care and skill upon an unborn child for the preservation of the mother’s life, if the performance of the operation is reasonable, having regard to the patient’s state at the time, and to all the circumstances of the case",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Eastern Africa,United Republic of Tanzania,2024-04-24,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Eastern Africa,Zambia,2018-11-09,Not Specified,Yes,Not Specified,Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Risk of injury to the physical or mental health of any existing children of the pregnant woman. Defilement.,Yes,Yes,Yes,Not Specified,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Africa,Eastern Africa,Zimbabwe,2018-05-17,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,"Sexual intercourse in contravention of section 4 of the Sexual Offences Act [Chapter 9:21] which prohibits extra-marital sexual intercourse or immoral or indecent acts committed with an intellectually handicapped person. Additionally, the 2014 Guidelines for Comprehensive Abortion Care state that ""In Zimbabwe termination of pregnancy may be permitted for HIV positive women if they choose to do so."" ",Yes,Yes,No,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,South-Central Asia,Afghanistan,2017-05-07,No,Yes,No,No,No,No,No,No,No,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,Western Asia,Armenia,2023-12-15,Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Yes,Not Specified,"Medical indications
Below 16 years of age
Above 45 years of age",Yes,Not Specified,Yes,Not Specified,Not Specified,Yes,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Yes,"Below 16 years
Above 45 years",Provider
Asia,Western Asia,Azerbaijan,2023-12-15,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"The Law on the Protection of Public Health states that an abortion may be performed for social reasons during the first 22 weeks of pregnancy and for medical reasons at any time during pregnancy. A list of permitted medical conditions is outlined in the 2014 Guidelines. In the case of diseases that are not listed in this list, but pose a serious threat to a woman's health and life during pregnancy and childbirth, the issue of termination of pregnancy is decided by individual counseling. Abortion performed for medical reasons can be done at any time during pregnancy. Social indications for abortion are as follows: Husband's death during pregnancy; Having a child with disabilities in the family; a court order depriving or restricting parental rights; the woman has refugee or IDP status; lack of housing, living in a dormitory, private house, rent; Recognition of a woman or her husband as unemployed on the basis of established rules; Presence of a woman or her husband in places of imprisonment; Extramarital pregnancy; Dissolution of marriage during pregnancy; Pregnancy as a result of rape; Multiple childhood (5 or more children); Determination of 1-2 degree disability of the husband.",Yes,No,Not Specified,Not Specified,Not Specified,Not Specified,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Provider, Person who helps a woman obtain abortion"
Asia,Western Asia,Bahrain,2017-05-07,No,Yes,No,No,No,No,No,No,No,No,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,South-Central Asia,Bangladesh,2017-05-07,No,Yes,No,No,No,No,No,No,No,No,Menstrual regulation is available on request for women with a last menstrual period of 10 weeks or less.,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,No,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,South-Central Asia,Bhutan,2022-11-14,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"Woman, Provider"
Asia,South-Eastern Asia,Brunei Darussalam,2022-12-22,No,Yes,No,No,No,No,No,No,No,No,     ,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
Asia,South-Eastern Asia,Cambodia,2023-12-07,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Yes,Not Specified,Not Specified,Yes,No,Yes,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,"Provider, Person who helps a woman obtain abortion"
Asia,Eastern Asia,China,2022-12-22,Yes,Yes,Yes,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,     ,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,"Provider, Person who helps a woman obtain abortion"
Asia,Eastern Asia,Hong Kong Special Administrative region,2022-12-22,Not Specified,Yes,Not Specified,Yes,Yes,Not Specified,Yes,Yes,Yes,Not Specified,In the case of a woman who is with child before attaining the age of 16     ,Yes,Yes,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Yes,Not Specified,Not Specified,     ,"Woman, Provider, Person who helps a woman obtain abortion"
